source,target,weight
ALNR,RMGR,0.038462
ALNR,RIML,0.038462
ALNR,AVAL,0.076923
ALNR,SAAVR,0.076923
ALNR,SMBDL,0.076923
ALNR,SMDVL,0.038462
ALNR,SMDDL,0.038462
ALNR,SMDDR,0.038462
ALNR,RMHR,0.038462
AQR,AVDR,0.017241
AQR,PVPL,0.137931
AQR,AVDL,0.017241
AQR,AVKR,0.017241
AQR,AVKL,0.034483
AQR,AVAR,0.051724
AQR,PVPR,0.172414
AQR,RIR,0.017241
AQR,RIGR,0.017241
AQR,BAGL,0.034483
AQR,RIGL,0.051724
AQR,BAGR,0.034483
AQR,DVA,0.051724
AQR,AVBL,0.068966
AQR,PVCR,0.034483
AQR,AVAL,0.034483
AQR,AVBR,0.068966
AQR,PVCL,0.017241
AQR,URXL,0.017241
AQR,AVJL,0.017241
AQR,RIAL,0.051724
AQR,RIAR,0.034483
AS01,AVAR,0.095238
AS01,FLPR,0.047619
AS01,DB01,0.095238
AS01,AVAL,0.142857
AS01,VA03,0.047619
AS01,VD02,0.047619
AS01,AVEL,0.047619
AS01,AVER,0.047619
AS01,VA05,0.047619
AS01,DA01,0.095238
AS01,DD01,0.047619
AS01,VD01,0.238095
AS02,DB01,0.058824
AS02,RID,0.058824
AS02,VA03,0.058824
AS02,VD02,0.588235
AS02,DA02,0.058824
AS02,VA04,0.117647
AS02,DD01,0.058824
AS03,AVAR,0.04
AS03,AVAL,0.08
AS03,VD02,0.04
AS03,DA02,0.04
AS03,VA05,0.08
AS03,DA03,0.04
AS03,PVDR,0.04
AS03,DD01,0.04
AS03,VD03,0.6
AS04,DA03,0.0625
AS04,AS05,0.0625
AS04,DD02,0.1875
AS04,VD04,0.6875
AS05,AVAR,0.058824
AS05,AVAL,0.058824
AS05,AVBR,0.058824
AS05,VA07,0.058824
AS05,DA04,0.058824
AS05,PVDL,0.058824
AS05,VD05,0.529412
AS05,DD02,0.058824
AS05,DD03,0.058824
AS06,AVAR,0.04
AS06,AVBL,0.04
AS06,AVAL,0.04
AS06,AVBR,0.04
AS06,DA05,0.12
AS06,VA08,0.04
AS06,VD06,0.52
AS06,DB04,0.04
AS06,DD03,0.12
AS07,AVAR,0.333333
AS07,AVBL,0.133333
AS07,AVAL,0.4
AS07,AVBR,0.133333
AS08,AVAR,0.428571
AS08,AVAL,0.571429
AS09,AVAR,0.153846
AS09,AVAL,0.307692
AS09,DVB,0.538462
AS10,AVKL,0.166667
AS10,AVAR,0.166667
AS10,AVHL,0.166667
AS10,AVAL,0.166667
AS10,VA12,0.166667
AS10,DB07,0.166667
AS11,PVPL,0.1
AS11,AVKL,0.033333
AS11,AVHL,0.066667
AS11,AVHR,0.266667
AS11,DVA,0.033333
AS11,RID,0.033333
AS11,DVB,0.033333
AS11,PDB,0.1
AS11,PDA,0.033333
AS11,DA08,0.033333
AS11,AVG,0.033333
AS11,VD13,0.066667
AS11,VB11,0.033333
AS11,AVFL,0.066667
AS11,DD06,0.066667
ASEL,AIAL,0.050847
ASEL,ADFR,0.016949
ASEL,IL2R,0.016949
ASEL,AWBL,0.016949
ASEL,AIYR,0.101695
ASEL,AFDR,0.067797
ASEL,AFDL,0.067797
ASEL,AIBL,0.118644
ASEL,ASER,0.016949
ASEL,AIBR,0.067797
ASEL,RIR,0.016949
ASEL,AIZL,0.016949
ASEL,ASGL,0.016949
ASEL,AWCL,0.084746
ASEL,AWCR,0.050847
ASEL,AIYL,0.220339
ASEL,ASJL,0.016949
ASEL,OLLR,0.016949
ASEL,RIAR,0.016949
ASER,AIAL,0.035714
ASER,ASHR,0.035714
ASER,PVQR,0.017857
ASER,AIAR,0.053571
ASER,AIYR,0.25
ASER,ASEL,0.035714
ASER,AWAR,0.017857
ASER,AWBR,0.017857
ASER,ADLR,0.017857
ASER,ADLL,0.053571
ASER,AFDR,0.053571
ASER,AFDL,0.035714
ASER,AIBL,0.035714
ASER,AIBR,0.178571
ASER,AIZL,0.017857
ASER,ASKL,0.017857
ASER,AWCL,0.017857
ASER,ASGR,0.017857
ASER,AWCR,0.017857
ASER,AIYL,0.071429
ASGL,AIAL,0.473684
ASGL,AWBL,0.052632
ASGL,ASEL,0.052632
ASGL,AIBL,0.157895
ASGL,AINR,0.105263
ASGL,AIML,0.052632
ASGL,AIZL,0.052632
ASGL,ASKL,0.052632
ASGR,ADFR,0.038462
ASGR,AIAR,0.461538
