# Gap junctions in the C. elegans
# From the dataset used by Cook et al.
ASKL,ASHL,7,EJ
ASKL,PVQL,4,EJ
ASKL,AVHL,2,EJ
ASKL,AIBL,1,EJ
ASKL,HSNL,1,EJ
ASKR,ASKL,2,EJ
ASKR,ASKR,1,EJ
ASKR,ASHR,1,EJ
ASKR,ADLR,1,EJ
ASKR,AIAR,1,EJ
ASKR,ALA,1,EJ
ASKR,PVQR,5,EJ
ASKR,AVHR,2,EJ
ASKR,RMGR,1,EJ
ASKR,AIBR,2,EJ
ASKR,HSNR,2,EJ
ASHL,ADFL,1,EJ
ASHL,ASKL,7,EJ
ASHL,ASHR,2,EJ
ASHL,AIZL,1,EJ
ASHL,ADAL,1,EJ
ASHL,RMGL,1,EJ
ASHL,RICL,2,EJ
ASHR,AFDR,2,EJ
ASHR,ASKR,1,EJ
ASHR,ASHL,2,EJ
ASHR,AIAR,1,EJ
ASHR,AIZR,2,EJ
ASHR,ADAR,1,EJ
ASHR,AVHL,1,EJ
ASHR,RMGR,2,EJ
ASHR,RICR,2,EJ
ASHR,AVER,1,EJ
ASHR,AVAR,2,EJ
ADLL,AWAL,1,EJ
ADLL,ADLR,1,EJ
ADLL,RMGL,1,EJ
ADLL,AVDR,1,EJ
ADLL,hyp,1,EJ
ADLR,ASGR,1,EJ
ADLR,ASKR,1,EJ
ADLR,ADLL,1,EJ
BAGL,BAGR,1,EJ
BAGL,AINR,1,EJ
BAGL,RIR,1,EJ
BAGL,RIGL,1,EJ
BAGL,RIGR,1,EJ
BAGR,BAGL,1,EJ
BAGR,RIR,2,EJ
BAGR,AVEL,1,EJ
URXL,IL2L,1,EJ
URXL,RMGL,2,EJ
URXR,IL2R,2,EJ
URXR,AUAR,1,EJ
URXR,RMGR,4,EJ
URXR,RICR,1,EJ
ALNL,SMDDR,1,EJ
ALNL,SMDVL,1,EJ
ALNL,SMBDR,2,EJ
ALNL,hyp,2,EJ
ALNR,ADER,1,EJ
ALNR,RMGR,1,EJ
ALNR,SMDDL,1,EJ
PLNL,PHAL,1,EJ
PLNL,PHBL,1,EJ
PLNL,PHCL,2,EJ
PLNR,PLMR,1,EJ
PLNR,PHAR,2,EJ
PLNR,VA02,2,EJ
PLNR,hyp,1,EJ
SDQL,SDQR,1,EJ
SDQL,FLPL,1,EJ
SDQL,DVA,1,EJ
SDQL,SIADR,1,EJ
SDQR,SDQL,1,EJ
SDQR,ALMR,1,EJ
SDQR,DVA,1,EJ
SDQR,AIBL,1,EJ
SDQR,SAADL,1,EJ
SDQR,AVBL,1,EJ
SDQR,RIVL,3,EJ
SDQR,RIVR,3,EJ
SDQR,SIBVL,1,EJ
SDQR,SIAVR,1,EJ
AQR,PVPL,12,EJ
AQR,PVPR,20,EJ
AQR,RIGR,1,EJ
AQR,AVKL,2,EJ
AQR,AVKR,1,EJ
AQR,AVBL,1,EJ
PQR,PVPL,5,EJ
PQR,PVPR,8,EJ
PQR,PVNL,2,EJ
PQR,PVNR,2,EJ
PQR,AVJL,2,EJ
PQR,AVJR,1,EJ
PQR,AVDR,1,EJ
PQR,PVCL,1,EJ
PQR,hyp,1,EJ
ALML,AVM,2,EJ
ALML,BDUL,1,EJ
ALML,RMGL,1,EJ
ALML,RMDDR,1,EJ
ALML,SMBDR,1,EJ
ALMR,SDQR,1,EJ
ALMR,AVM,1,EJ
ALMR,BDUR,1,EJ
ALMR,AVDR,2,EJ
AVM,ALML,2,EJ
AVM,ALMR,1,EJ
AVM,AVDL,2,EJ
PVM,ADER,1,EJ
PLML,LUAL,2,EJ
PLML,PVCL,2,EJ
PLML,hyp,3,EJ
PLMR,PLNR,1,EJ
PLMR,LUAR,1,EJ
PLMR,PVCR,2,EJ
FLPL,SDQL,1,EJ
FLPL,FLPR,3,EJ
FLPL,RIH,1,EJ
FLPL,AIBL,1,EJ
FLPL,AVDL,2,EJ
FLPL,SIADR,1,EJ
FLPL,DD01,1,EJ
FLPR,FLPL,3,EJ
FLPR,ADER,1,EJ
FLPR,AVDL,2,EJ
FLPR,AVDR,1,EJ
FLPR,DA01,1,EJ
FLPR,DA02,1,EJ
FLPR,DA03,2,EJ
FLPR,AS01,1,EJ
DVA,SDQL,1,EJ
DVA,SDQR,1,EJ
DVA,PDEL,1,EJ
DVA,PDER,2,EJ
DVA,PVPL,1,EJ
DVA,SAAVR,1,EJ
DVA,AVKL,7,EJ
DVA,DVC,1,EJ
DVA,PVT,4,EJ
DVA,AVBL,1,EJ
DVA,AVBR,1,EJ
DVA,PVCL,1,EJ
DVA,PVCR,1,EJ
DVA,SIADR,1,EJ
DVA,SIAVR,1,EJ
DVA,DA09,3,EJ
DVA,PDA,1,EJ
DVA,DB01,1,EJ
DVA,DB07,1,EJ
DVA,AS11,1,EJ
DVA,hyp,4,EJ
PVDL,DA03,1,EJ
PVDL,DA05,1,EJ
PVDL,DB01,1,EJ
PVDR,AS03,1,EJ
ADEL,IL2L,2,EJ
